GameID,Ha,pHa,La,LotShapeA,LotNumA,Hb,pHb,Lb,LotShapeB,LotNumB,Amb,Corr,B.1
51,14,1,14,-,1,14,1,14,R-skew,2,0,0,0.435294118
49,76,0.5,-24,-,1,38,0.6,-20,L-skew,3,0,0,0.43697479
44,30,1,30,-,1,64,0.01,20,-,1,1,0,0.456637168
43,42,0.01,29,-,1,80,0.1,20,L-skew,2,0,0,0.494017094
24,74,0.6,-36,Symm,5,46,0.5,-11,Symm,3,0,0,0.499159664
12,39,0.6,14,-,1,48,0.25,24,-,1,0,0,0.540677966
27,41,0.4,-4,Symm,5,42,0.4,-9,Symm,5,1,0,0.562711864
31,-9,1,-9,-,1,71,0.2,-20,R-skew,4,0,0,0.571186441
52,53,0.1,27,-,1,32,0.95,9,-,1,0,0,0.574358974
60,25,0.2,10,-,1,102,0.05,9,Symm,3,0,0,0.638983051
